시도,시군구,동리,단지코드,단지명,단지분류,법정동주소,도로명주소,사용승인일,동수,세대수,총주차대수,지상주차대수,지하주차대수
용인시,기흥구,상하동,A44691407,지석마을진흥더루벤스2차,아파트,경기도 용인기흥구 상하동 660 지석마을진흥더루벤스2차,경기도 용인시 기흥구 중부대로746번길 21,20081231,13,851,1320.0,73.0,1247.0
용인시,기흥구,상갈동,A44695803,금화마을주공4단지,아파트,경기도 용인기흥구 상갈동 463 금화마을주공4단지,경기도 용인시 기흥구 금화로58번길 10,20011012,8,742,751.0,111.0,640.0
용인시,기흥구,상갈동,A44695601,금화마을대우현대,아파트,경기도 용인기흥구 상갈동 461 금화마을대우현대,경기도 용인시 기흥구 금화로82번길 14,20010620,12,664,948.0,381.0,567.0
용인시,기흥구,상갈동,A44695802,금화마을주공5단지,아파트,경기도 용인기흥구 상갈동 454 금화마을주공5단지,경기도 용인시 기흥구 금화로82번길 17,20011016,10,681,681.0,166.0,515.0
용인시,기흥구,영덕동,A44674004,청현마을 두진,아파트,경기도 용인기흥구 영덕동 13 청현마을 두진,경기도 용인시 기흥구 덕영대로2077번길 8,19961108,4,541,376.0,227.0,149.0
용인시,기흥구,영덕동,A44674105,영덕신일,아파트,경기도 용인기흥구 영덕동 14-11 영덕신일,경기도 용인시 기흥구 덕영대로2077번길 20,19981212,11,901,919.0,432.0,487.0
용인시,기흥구,영덕동,A44659101,청현마을기흥데시앙,아파트,경기도 용인기흥구 영덕동 947 청현마을기흥데시앙,경기도 용인시 기흥구 덕영대로2077번길 53,20050106,7,400,405.0,160.0,245.0
용인시,기흥구,영덕동,A44659102,대명레이크빌,아파트,경기도 용인기흥구 영덕동 946 대명레이크빌,경기도 용인시 기흥구 덕영대로2077번길 55,20050107,7,401,411.0,137.0,274.0
용인시,기흥구,공세동,A44679601,탑실마을대주피오레1단지,아파트,경기도 용인기흥구 공세동 694 탑실마을대주피오레1단지,경기도 용인시 기흥구 탑실로 15,20090526,9,710,1432.0,0.0,1432.0
용인시,기흥구,공세동,A44679602,공세대주피오레2단지,아파트,경기도 용인기흥구 공세동 714 공세대주피오레2단지,경기도 용인시 기흥구 탑실로 152,20090731,15,1290,2926.0,0.0,2926.0
용인시,기흥구,서천동,A44670104,서천마을쌍용예가,아파트,경기도 용인기흥구 서천동 823 서천마을쌍용예가,경기도 용인시 기흥구 서천동로 60,20121217,11,556,599.0,508.0,91.0
용인시,수지구,상현동,A44852405,성복역 아이파크,아파트,경기도 용인수지구 상현동 857 성복역 아이파크,경기도 용인시 수지구 상현로 142,20020718,11,584,703.0,110.0,593.0
용인시,기흥구,중동,A44675411,성산마을서해그랑블,아파트,경기도 용인기흥구 중동 860 성산마을서해그랑블,경기도 용인시 기흥구 동백4로 26,20060427,10,564,1053.0,183.0,870.0
용인시,기흥구,중동,A44675001,어은목마을한라비발디3단지,아파트,경기도 용인기흥구 중동 956 어은목마을한라비발디3단지,경기도 용인시 기흥구 동백4로 72,20060227,4,248,456.0,95.0,361.0
용인시,기흥구,중동,A44674613,성산마을신영지웰,아파트,경기도 용인기흥구 중동 870 성산마을신영지웰,경기도 용인시 기흥구 동백5로 41,20060831,10,590,979.0,200.0,779.0
용인시,기흥구,중동,A44679103,백현마을상록롯데캐슬,아파트,경기도 용인기흥구 중동 878 백현마을상록롯데캐슬,경기도 용인시 기흥구 동백5로 79,20070206,4,295,427.0,137.0,290.0
용인시,수지구,상현동,A10026933,광교레이크포레아파트,아파트,경기도 용인수지구 상현동 1204 광교레이크포레아파트,경기도 용인시 수지구 광교호수로 431,20170623,3,235,268.0,9.0,259.0
용인시,기흥구,구갈동,A44673401,구갈우림,아파트,경기도 용인기흥구 구갈동 404-2 구갈우림,경기도 용인시 기흥구 신구로42번길 15,19960429,1,150,106.0,49.0,57.0
용인시,기흥구,구갈동,A44673402,풍림고층,아파트,경기도 용인기흥구 구갈동 405-1 풍림고층,경기도 용인시 기흥구 신구로42번길 22,19960727,1,180,121.0,71.0,50.0
용인시,수지구,죽전동,A44854110,꽃메마을한라신영프로방스,아파트,경기도 용인수지구 죽전동 1302 꽃메마을한라신영프로방스,경기도 용인시 수지구 죽전로27번길 14-30,20040630,5,388,661.0,60.0,601.0
용인시,수지구,죽전동,A44879317,죽전주공8단지,아파트,경기도 용인수지구 죽전동 1279 죽전주공8단지,경기도 용인시 수지구 죽전로27번길 60,20050805,7,643,641.0,317.0,324.0
용인시,기흥구,고매동,A44673103,기흥써니밸리,아파트,경기도 용인기흥구 고매동 883 기흥써니밸리,경기도 용인시 기흥구 고매로 16,20091231,4,171,193.0,0.0,193.0
용인시,기흥구,고매동,A44673102,기흥동성,아파트,경기도 용인기흥구 고매동 359 기흥동성,경기도 용인시 기흥구 고매로 26,19970109,2,216,217.0,139.0,78.0
용인시,수지구,성복동,A44898202,푸른마을푸르지오,아파트,경기도 용인수지구 성복동 741 푸른마을푸르지오,경기도 용인시 수지구 성복2로76번길 31,20041022,9,430,866.0,95.0,771.0
용인시,수지구,성복동,A10026460,수지 성복 효성해링턴코트,아파트,경기도 용인수지구 성복동 558-31 수지 성복 효성해링턴코트,경기도 용인시 수지구 성복1로281번길 20,20180228,16,236,310.0,217.0,93.0
용인시,기흥구,동백동,A44674712,호수마을서해그랑블,아파트,경기도 용인기흥구 동백동 656 호수마을서해그랑블,경기도 용인시 기흥구 동백7로 56,20060420,9,536,594.0,155.0,439.0
용인시,기흥구,영덕동,A44690806,휴먼시아흥덕마을1단지,아파트,경기도 용인기흥구 영덕동 980 휴먼시아흥덕마을1단지,경기도 용인시 기흥구 흥덕1로79번길 9,20090206,15,1254,1016.0,502.0,514.0
용인시,기흥구,영덕동,A44678710,호반써밋 레이크파크,아파트,경기도 용인기흥구 영덕동 976 호반써밋 레이크파크,경기도 용인시 기흥구 흥덕1로79번길 37,20091105,8,527,587.0,30.0,557.0
용인시,기흥구,영덕동,A44678703,광교레이크스위첸,아파트,경기도 용인기흥구 영덕동 971 광교레이크스위첸,경기도 용인시 기흥구 흥덕2로117번길 14,20090813,9,502,560.0,14.0,546.0
용인시,기흥구,영덕동,A44678713,용인흥덕아델리움8단지,아파트,경기도 용인기흥구 영덕동 961 용인흥덕아델리움8단지,경기도 용인시 기흥구 흥덕2로118번길 25,20100806,7,474,523.0,0.0,523.0
용인시,기흥구,영덕동,A44678702,흥덕우미린레이크포레,아파트,경기도 용인기흥구 영덕동 963 흥덕우미린레이크포레,경기도 용인시 기흥구 흥덕2로118번길 26,20090514,6,486,617.0,14.0,603.0
용인시,기흥구,신갈동,A44659508,원대마을한신아파트,아파트,경기도 용인기흥구 신갈동 17-15 원대마을한신아파트,경기도 용인시 기흥구 신갈로 102,20020831,6,367,483.0,164.0,319.0
용인시,기흥구,농서동,A44671101,서천마을휴먼시아3단지,아파트,경기도 용인기흥구 농서동 395 서천마을휴먼시아3단지,경기도 용인시 기흥구 서천서로 125,20110517,10,980,841.0,381.0,460.0
용인시,기흥구,서천동,A44670103,센트럴파크원,아파트,경기도 용인기흥구 서천동 736 센트럴파크원,경기도 용인시 기흥구 서천서로 27,20121217,14,826,880.0,177.0,703.0
용인시,기흥구,신갈동,A44658609,새천년그린빌주공1단지,아파트,경기도 용인기흥구 신갈동 681 새천년그린빌주공1단지,경기도 용인시 기흥구 새천년로 13,20060315,7,414,430.0,198.0,232.0
용인시,기흥구,신갈동,A44658601,새천년그린빌주공2단지,아파트,경기도 용인기흥구 신갈동 682 새천년그린빌주공2단지,경기도 용인시 기흥구 새천년로 27,20040617,4,238,242.0,135.0,107.0
용인시,기흥구,신갈동,A44658715,파크시엘아파트,아파트,경기도 용인기흥구 신갈동 703 파크시엘아파트,경기도 용인시 기흥구 새천년로 40,20040716,14,923,947.0,328.0,619.0
용인시,기흥구,신갈동,A44658913,양현마을신안풍림,아파트,경기도 용인기흥구 신갈동 158 양현마을신안풍림,경기도 용인시 기흥구 산양로 17,20010523,14,776,788.0,282.0,506.0
용인시,기흥구,청덕동,A44657505,물푸레마을휴먼시아1단지,아파트,경기도 용인기흥구 청덕동 513 물푸레마을휴먼시아1단지,경기도 용인시 기흥구 구성2로 52,20080716,8,618,545.0,201.0,344.0
용인시,기흥구,청덕동,A44691506,물푸레마을휴먼시아2단지,아파트,경기도 용인기흥구 청덕동 506 물푸레마을휴먼시아2단지,경기도 용인시 기흥구 구성3로 37,20080603,6,389,343.0,151.0,192.0
용인시,기흥구,청덕동,A44657504,물푸레마을휴먼시아5단지,아파트,경기도 용인기흥구 청덕동 503 물푸레마을휴먼시아5단지,경기도 용인시 기흥구 구성3로 38,20080603,11,712,658.0,259.0,399.0
용인시,기흥구,보정동,A44679308,연원마을삼성명가타운,아파트,경기도 용인기흥구 보정동 1177 연원마을삼성명가타운,경기도 용인시 기흥구 용구대로 2460,20021213,11,424,516.0,109.0,407.0
용인시,기흥구,마북동,A44656211,교동마을현대홈타운,아파트,경기도 용인기흥구 마북동 630 교동마을현대홈타운,경기도 용인시 기흥구 마북로 124-9,20030801,14,795,1503.0,217.0,1286.0
용인시,기흥구,구갈동,A44658010,강남마을코오롱하늘채,아파트,경기도 용인기흥구 구갈동 597 강남마을코오롱하늘채,경기도 용인시 기흥구 강남동로 20,20040924,6,530,640.0,284.0,356.0
용인시,기흥구,구갈동,A44658008,"강남마을자연앤4,6단지",아파트,"경기도 용인기흥구 구갈동 600 강남마을자연앤4,6단지",경기도 용인시 기흥구 강남동로 43,20040805,10,781,1101.0,417.0,684.0
용인시,기흥구,구갈동,A44657809,구갈강남마을 계룡리슈빌,아파트,경기도 용인기흥구 구갈동 604 구갈강남마을 계룡리슈빌,경기도 용인시 기흥구 강남동로 54,20040625,7,528,555.0,71.0,484.0
용인시,기흥구,상하동,A44671901,용인구갈8,아파트,경기도 용인기흥구 상하동 636 용인구갈8,경기도 용인시 기흥구 강남동로 92,20040528,13,1176,971.0,539.0,432.0
용인시,기흥구,상하동,A44658108,강남마을9단지한라비발디,아파트,경기도 용인기흥구 상하동 630 강남마을9단지한라비발디,경기도 용인시 기흥구 강남동로 128,20040525,8,890,1040.0,392.0,648.0
용인시,기흥구,영덕동,A44678711,동원로얄듀크,아파트,경기도 용인기흥구 영덕동 958 동원로얄듀크,경기도 용인시 기흥구 흥덕중앙로105번길 24,20100729,9,720,961.0,12.0,949.0
용인시,기흥구,영덕동,A44678701,흥덕우남퍼스트빌리젠트,연립주택,경기도 용인기흥구 영덕동 953 흥덕우남퍼스트빌리젠트,경기도 용인시 기흥구 흥덕중앙로105번길 40,20090424,7,153,482.0,0.0,482.0
용인시,기흥구,영덕동,A44678706,흥덕11단지경남아너스빌,아파트,경기도 용인기흥구 영덕동 952 흥덕11단지경남아너스빌,경기도 용인시 기흥구 흥덕중앙로105번길 41,20090428,10,545,1075.0,106.0,969.0
용인시,기흥구,동백동,A44672805,백현마을코아루,아파트,경기도 용인기흥구 동백동 661 백현마을코아루,경기도 용인시 기흥구 동백7로 80,20060329,6,414,575.0,53.0,522.0
용인시,기흥구,동백동,A44672102,백현마을한라비발디2단지,아파트,경기도 용인기흥구 동백동 662 백현마을한라비발디2단지,경기도 용인시 기흥구 동백7로 96,20060227,5,304,422.0,100.0,322.0
용인시,기흥구,동백동,A44672104,백현마을한라비발디1단지,아파트,경기도 용인기흥구 동백동 596 백현마을한라비발디1단지,경기도 용인시 기흥구 동백7로 97,20060227,6,342,377.0,111.0,266.0
용인시,기흥구,동백동,A44691106,호수마을자연앤데시앙,아파트,경기도 용인기흥구 동백동 572 호수마을자연앤데시앙,경기도 용인시 기흥구 동백8로 9,20060818,7,432,486.0,188.0,298.0
용인시,기흥구,동백동,A44691101,호수마을월드메르디앙,아파트,경기도 용인기흥구 동백동 574 호수마을월드메르디앙,경기도 용인시 기흥구 동백8로 19,20060623,6,286,320.0,77.0,243.0
용인시,기흥구,동백동,A44674410,휴먼시아5단지,아파트,경기도 용인기흥구 동백동 575 휴먼시아5단지,경기도 용인시 기흥구 동백8로 27,20061106,6,488,547.0,244.0,303.0
용인시,기흥구,동백동,A44691117,호수마을주공3단지,아파트,경기도 용인기흥구 동백동 602 호수마을주공3단지,경기도 용인시 기흥구 동백8로 64,20060530,10,898,909.0,441.0,468.0
용인시,수지구,성복동,A44898103,엘지빌리지2차,아파트,경기도 용인수지구 성복동 90 엘지빌리지2차,경기도 용인시 수지구 수지로113번길 15,20010303,8,758,1530.0,406.0,1124.0
용인시,수지구,성복동,A44898201,수지강남빌리지,아파트,경기도 용인수지구 성복동 84 수지강남빌리지,경기도 용인시 수지구 수지로113번길 16,20010219,8,428,735.0,220.0,515.0
용인시,기흥구,마북동,A44656209,교동마을현대,아파트,경기도 용인기흥구 마북동 625 교동마을현대,경기도 용인시 기흥구 마북로 139,20020102,10,486,868.0,174.0,694.0
용인시,기흥구,마북동,A44677103,교동마을동양파라곤,아파트,경기도 용인기흥구 마북동 641 교동마을동양파라곤,경기도 용인시 기흥구 마북로 140,20101026,8,278,498.0,0.0,498.0
용인시,기흥구,보라동,A44690406,한보라 더힐,아파트,경기도 용인기흥구 보라동 620 한보라 더힐,경기도 용인시 기흥구 한보라1로 91,20080417,11,762,837.0,337.0,500.0
용인시,기흥구,보정동,A44656607,신촌마을포스홈타운2단지,아파트,경기도 용인기흥구 보정동 1298 신촌마을포스홈타운2단지,경기도 용인시 기흥구 신촌로47번길 11,20040930,8,423,806.0,250.0,556.0
용인시,기흥구,상하동,A44691704,수원동마을쌍용스윗닷홈2단지,아파트,경기도 용인기흥구 상하동 652 수원동마을쌍용스윗닷홈2단지,경기도 용인시 기흥구 중부대로788번길 15,20041123,7,465,620.0,244.0,376.0
용인시,기흥구,상하동,A44694209,수원동마을쌍용아파트,아파트,경기도 용인기흥구 상하동 621 수원동마을쌍용아파트,경기도 용인시 기흥구 중부대로788번길 22,20020530,18,1342,1883.0,543.0,1340.0
용인시,수지구,죽전동,A44875506,벽산타운3단지,아파트,경기도 용인수지구 죽전동 855 벽산타운3단지,경기도 용인시 수지구 용구대로2801번길 16,19970924,5,425,355.0,135.0,220.0
용인시,수지구,죽전동,A44875508,벽산,아파트,경기도 용인수지구 죽전동 952 벽산,경기도 용인시 수지구 용구대로2801번길 41,19990317,3,465,519.0,271.0,248.0
용인시,수지구,성복동,A44853108,성동마을 엘지빌리지3차,아파트,경기도 용인수지구 성복동 726 성동마을 엘지빌리지3차,경기도 용인시 수지구 성복2로 126,20020828,15,1234,3018.0,504.0,2514.0
용인시,수지구,성복동,A44853206,성동마을엘지빌리지6차,아파트,경기도 용인수지구 성복동 731 성동마을엘지빌리지6차,경기도 용인시 수지구 성복2로 158,20030326,14,956,2064.0,381.0,1683.0
용인시,수지구,성복동,A44814002,수지자이아파트,아파트,경기도 용인수지구 성복동 752 수지자이아파트,경기도 용인시 수지구 성복2로 174,20060530,12,680,1298.0,326.0,972.0
용인시,수지구,성복동,A44898208,성복센트럴자이아파트,아파트,경기도 용인수지구 성복동 762 성복센트럴자이아파트,경기도 용인시 수지구 성복2로 184,20100927,10,500,967.0,98.0,869.0
용인시,기흥구,청덕동,A44691505,구성휴먼시아물푸레마을휴먼시아3단지,아파트,경기도 용인기흥구 청덕동 488 구성휴먼시아물푸레마을휴먼시아3단지,경기도 용인시 기흥구 구성3로 65,20081007,35,988,1075.0,443.0,632.0
용인시,수지구,상현동,A44851612,상현엘지자이,아파트,경기도 용인수지구 상현동 869 상현엘지자이,경기도 용인시 수지구 만현로133번길 33,20030627,12,1034,1406.0,453.0,953.0
용인시,수지구,상현동,A44852602,만현마을2단지현대아이파크,아파트,경기도 용인수지구 상현동 856 만현마을2단지현대아이파크,경기도 용인시 수지구 만현로67번길 9,20020430,5,404,743.0,440.0,303.0
용인시,수지구,상현동,A44813003,만현마을3단지성원상떼빌,아파트,경기도 용인수지구 상현동 864 만현마을3단지성원상떼빌,경기도 용인시 수지구 만현로67번길 19,20020830,8,554,681.0,226.0,455.0
용인시,수지구,죽전동,A44816101,진흥더블파크,아파트,경기도 용인수지구 죽전동 1381 진흥더블파크,경기도 용인시 수지구 죽전로254번길 29,20040630,4,160,274.0,89.0,185.0
용인시,수지구,신봉동,A44815011,엘지자이1차,아파트,경기도 용인수지구 신봉동 873 엘지자이1차,경기도 용인시 수지구 신봉2로 26,20040217,24,1990,3106.0,91.0,3015.0
용인시,수지구,신봉동,A10027904,웰스톤시티,도시형 생활주택(아파트),경기도 용인수지구 신봉동 925 웰스톤시티,경기도 용인시 수지구 신봉2로 60,20150424,4,265,201.0,0.0,201.0
용인시,수지구,신봉동,A44815010,엘지신봉자이2차,아파트,경기도 용인수지구 신봉동 911 엘지신봉자이2차,경기도 용인시 수지구 신봉2로 72,20050824,22,1626,2589.0,173.0,2416.0
용인시,수지구,신봉동,A10027893,광교산자이아파트,아파트,경기도 용인수지구 신봉동 796-1 광교산자이아파트,경기도 용인시 수지구 신봉2로 93,20150427,7,445,581.0,0.0,581.0
용인시,기흥구,중동,A44657406,어정마을서희삼정,아파트,경기도 용인기흥구 중동 817 어정마을서희삼정,경기도 용인시 기흥구 언동로 193-26,20030517,6,390,476.0,139.0,337.0
용인시,기흥구,중동,A10027209,신동백동도센트리움,아파트,경기도 용인기흥구 중동 1140 신동백동도센트리움,경기도 용인시 기흥구 언동로 207,20161214,2,254,181.0,80.0,101.0
용인시,기흥구,신갈동,A44673805,드림랜드,아파트,경기도 용인기흥구 신갈동 116-2 드림랜드,경기도 용인시 기흥구 용구대로2152번길 39,19920805,2,299,220.0,220.0,0.0
용인시,기흥구,마북동,A44655902,용화마을태영데시앙,아파트,경기도 용인기흥구 마북동 619 용화마을태영데시앙,경기도 용인시 기흥구 구성로 44-10,20031014,7,321,388.0,145.0,243.0
용인시,기흥구,청덕동,A44691504,물푸레마을휴먼시아9단지,아파트,경기도 용인기흥구 청덕동 569 물푸레마을휴먼시아9단지,경기도 용인시 기흥구 구성로 392,20080911,13,948,831.0,335.0,496.0
용인시,기흥구,청덕동,A44657507,물푸레마을휴먼시아7단지,아파트,경기도 용인기흥구 청덕동 565 물푸레마을휴먼시아7단지,경기도 용인시 기흥구 구성로 395,20090727,6,398,436.0,87.0,349.0
용인시,기흥구,청덕동,A44691502,호반베르디움,아파트,경기도 용인기흥구 청덕동 567 호반베르디움,경기도 용인시 기흥구 구성로 411,20080626,7,308,544.0,47.0,497.0
용인시,기흥구,청덕동,A44691501,물푸레마을경남아너스빌,아파트,경기도 용인기흥구 청덕동 497 물푸레마을경남아너스빌,경기도 용인시 기흥구 구성로 470,20080618,4,240,431.0,132.0,299.0
용인시,기흥구,청덕동,A44657506,구성더포레스트,아파트,경기도 용인기흥구 청덕동 499 구성더포레스트,경기도 용인시 기흥구 구성로 475,20090727,6,367,403.0,81.0,322.0
용인시,기흥구,마북동,A44693605,연원마을엘지,아파트,경기도 용인기흥구 마북동 526-3 연원마을엘지,경기도 용인시 기흥구 연원로 5,19991229,7,396,526.0,114.0,412.0
용인시,수지구,상현동,A44813005,벽산블루밍,아파트,경기도 용인수지구 상현동 99 벽산블루밍,경기도 용인시 수지구 수지로 68,19980831,8,631,645.0,142.0,503.0
용인시,수지구,상현동,A44851510,광교힐스테이트,아파트,경기도 용인수지구 상현동 1099 광교힐스테이트,경기도 용인시 수지구 수지로 75,20091029,16,860,1679.0,145.0,1534.0
용인시,수지구,풍덕천동,A44876205,삼성1차,아파트,경기도 용인수지구 풍덕천동 693 삼성1차,경기도 용인시 수지구 수풍로 13,19941220,6,576,688.0,366.0,322.0
용인시,수지구,풍덕천동,A44876107,수지보원아파트,아파트,경기도 용인수지구 풍덕천동 692 수지보원아파트,경기도 용인시 수지구 수풍로 16,19941222,5,619,440.0,220.0,220.0
용인시,수지구,풍덕천동,A44876303,수지2차삼성,아파트,경기도 용인수지구 풍덕천동 692-1 수지2차삼성,경기도 용인시 수지구 수풍로 38,19951206,5,420,300.0,20.0,280.0
용인시,수지구,풍덕천동,A44817001,수지동문,아파트,경기도 용인수지구 풍덕천동 690 수지동문,경기도 용인시 수지구 수풍로 47,19941220,5,368,379.0,282.0,97.0
용인시,수지구,풍덕천동,A44876411,수지4차삼성,아파트,경기도 용인수지구 풍덕천동 663-1 수지4차삼성,경기도 용인시 수지구 수풍로 90,19941220,9,1137,710.0,710.0,0.0
용인시,수지구,풍덕천동,A44817004,수지 진산마을 푸르지오,아파트,경기도 용인수지구 풍덕천동 1191 수지 진산마을 푸르지오,경기도 용인시 수지구 진산로34번길 24,20120727,6,438,525.0,12.0,513.0
용인시,수지구,풍덕천동,A44817003,진산마을삼성래미안7차,아파트,경기도 용인수지구 풍덕천동 1180 진산마을삼성래미안7차,경기도 용인시 수지구 진산로34번길 29,20021109,12,501,1280.0,79.0,1201.0
용인시,처인구,김량장동,A44902003,용인삼환나우빌아파트,아파트,경기도 용인처인구 김량장동 516 용인삼환나우빌아파트,경기도 용인시 처인구 중부대로 1348,20080808,10,458,564.0,109.0,455.0
용인시,처인구,양지리,A44982301,양지마을신원아침도시,아파트,경기도 용인처인구 양지면 양지리 907 양지마을신원아침도시,경기도 용인시 처인구 교동로 1,20070824,3,156,160.0,59.0,101.0
용인시,기흥구,상하동,A44656806,신일유토빌,아파트,경기도 용인기흥구 상하동 656 신일유토빌,경기도 용인시 기흥구 어정로 62-7,20041208,11,510,738.0,153.0,585.0
용인시,기흥구,상하동,A44671902,지석마을그대가크레던스,아파트,경기도 용인기흥구 상하동 675 지석마을그대가크레던스,경기도 용인시 기흥구 어정로 62-28,20101001,8,554,1011.0,22.0,989.0
용인시,기흥구,상하동,A44677505,초록마을 풍림아파트,아파트,경기도 용인기흥구 상하동 447 초록마을 풍림아파트,경기도 용인시 기흥구 어정로 80,19981114,6,469,469.0,211.0,258.0
용인시,기흥구,신갈동,A10026407,삼익리베리움,도시형 생활주택(아파트),경기도 용인기흥구 신갈동 71-35 삼익리베리움,경기도 용인시 기흥구 갈천로7번길 47,20170608,1,171,103.0,19.0,84.0
용인시,수지구,죽전동,A44816012,성현마을죽전주공3단지,아파트,경기도 용인수지구 죽전동 1233 성현마을죽전주공3단지,경기도 용인시 수지구 죽전로193번길 11,20050720,6,388,392.0,184.0,208.0
용인시,수지구,죽전동,A44854016,성현마을반도유보라,아파트,경기도 용인수지구 죽전동 1235 성현마을반도유보라,경기도 용인시 수지구 죽전로193번길 35,20040630,8,637,1087.0,353.0,734.0
용인시,수지구,풍덕천동,A44878510,진산마을삼성5차아파트,아파트,경기도 용인수지구 풍덕천동 1167 진산마을삼성5차아파트,경기도 용인시 수지구 진산로66번길 10,20030728,26,1828,2644.0,709.0,1935.0
용인시,기흥구,언남동,A44657001,하마비마을동부센트레빌,아파트,경기도 용인기흥구 언남동 493 하마비마을동부센트레빌,경기도 용인시 기흥구 구성로 97,20020131,7,418,688.0,13.0,675.0
용인시,기흥구,언남동,A44657106,동일하이빌1차,아파트,경기도 용인기흥구 언남동 486 동일하이빌1차,경기도 용인시 기흥구 구성로 105-15,20010921,21,999,1654.0,0.0,1654.0
용인시,기흥구,언남동,A44677702,언남동부,아파트,경기도 용인기흥구 언남동 240-1 언남동부,경기도 용인시 기흥구 구성로 123,19981203,5,446,464.0,258.0,206.0
용인시,수지구,신봉동,A44815008,엘지빌리지5차B단지,아파트,경기도 용인수지구 신봉동 871 엘지빌리지5차B단지,경기도 용인시 수지구 신봉1로 110,20020831,8,556,1235.0,302.0,933.0
용인시,수지구,신봉동,A44815007,엘지빌리지5차A단지,아파트,경기도 용인수지구 신봉동 870 엘지빌리지5차A단지,경기도 용인시 수지구 신봉1로 112-2,20020831,8,532,1199.0,245.0,954.0
용인시,수지구,신봉동,A44853610,동부센트레빌5단지,아파트,경기도 용인수지구 신봉동 949 동부센트레빌5단지,경기도 용인시 수지구 신봉1로 214,20100924,8,490,904.0,0.0,904.0
용인시,수지구,신봉동,A44853611,신봉동부센트레빌6단지아파트,아파트,경기도 용인수지구 신봉동 6 신봉동부센트레빌6단지아파트,경기도 용인시 수지구 신봉1로 216,20100924,8,450,840.0,0.0,840.0
용인시,수지구,동천동,A44851005,래미안이스트팰리스2단지,아파트,경기도 용인수지구 동천동 938 래미안이스트팰리스2단지,경기도 용인시 수지구 동천로113번길 10,20100531,8,428,787.0,40.0,747.0
용인시,기흥구,중동,A44670701,신동백롯데캐슬에코2단지,아파트,경기도 용인기흥구 중동 1101 신동백롯데캐슬에코2단지,경기도 용인시 기흥구 동백죽전대로527번길 67,20130620,9,868,1294.0,8.0,1286.0
용인시,기흥구,중동,A44675301,신동백롯데캐슬에코1단지,아파트,경기도 용인기흥구 중동 1096 신동백롯데캐슬에코1단지,경기도 용인시 기흥구 동백죽전대로527번길 80,20130620,17,1902,2769.0,0.0,2769.0
용인시,기흥구,중동,A44675302,신동백서해그랑블1차,아파트,경기도 용인기흥구 중동 1102 신동백서해그랑블1차,경기도 용인시 기흥구 동백죽전대로527번길 81,20130726,5,236,365.0,0.0,365.0
용인시,처인구,마평동,A44904005,용인마평,아파트,경기도 용인처인구 마평동 956 용인마평,경기도 용인시 처인구 고림로 22,20040924,7,639,518.0,297.0,221.0
용인시,기흥구,서천동,A44670102,서천마을2단지,아파트,경기도 용인기흥구 서천동 743 서천마을2단지,경기도 용인시 기흥구 서천로128번길 12,20110614,8,663,569.0,268.0,301.0
용인시,처인구,영문리,A44978603,배머루베네치아,아파트,경기도 용인처인구 포곡읍 영문리 555 배머루베네치아,경기도 용인시 처인구 영문로 64,20020305,5,347,422.0,104.0,318.0
용인시,수지구,동천동,A44851206,신명스카이뷰,아파트,경기도 용인수지구 동천동 870 신명스카이뷰,경기도 용인시 수지구 손곡로 53,20040117,4,262,262.0,62.0,200.0
용인시,수지구,동천동,A44812009,수진마을2단지,아파트,경기도 용인수지구 동천동 868 수진마을2단지,경기도 용인시 수지구 손곡로 54,20040110,6,344,549.0,213.0,336.0
용인시,수지구,동천동,A44851210,수진마을우미이노스빌,아파트,경기도 용인수지구 동천동 869 수진마을우미이노스빌,경기도 용인시 수지구 손곡로 67,20040120,6,396,400.0,107.0,293.0
용인시,수지구,동천동,A44851412,수진마을써니벨리,아파트,경기도 용인수지구 동천동 864 수진마을써니벨리,경기도 용인시 수지구 손곡로 82,20040126,7,627,750.0,194.0,556.0
용인시,수지구,풍덕천동,A44855005,수지태영데시앙1차,아파트,경기도 용인수지구 풍덕천동 1183 수지태영데시앙1차,경기도 용인시 수지구 수지로 166,20040423,9,648,661.0,128.0,533.0
용인시,수지구,풍덕천동,A44878406,동부1차,아파트,경기도 용인수지구 풍덕천동 691 동부1차,경기도 용인시 수지구 수지로 323,19950731,6,612,442.0,442.0,0.0
용인시,수지구,동천동,A44851111,동천마을현대1차홈타운,아파트,경기도 용인수지구 동천동 859 동천마을현대1차홈타운,경기도 용인시 수지구 수지로 487,20020429,7,466,472.0,195.0,277.0
용인시,기흥구,언남동,A44691003,구성신일해피트리,아파트,경기도 용인기흥구 언남동 490 구성신일해피트리,경기도 용인시 기흥구 구성로 184,20011212,10,591,713.0,271.0,442.0
용인시,수지구,동천동,A44851007,래미안이스트팰리스4단지,아파트,경기도 용인수지구 동천동 923 래미안이스트팰리스4단지,경기도 용인시 수지구 동천로153번길 6,20100531,19,620,1352.0,13.0,1339.0
용인시,수지구,동천동,A44851006,래미안이스트팰리스1단지,아파트,경기도 용인수지구 동천동 935 래미안이스트팰리스1단지,경기도 용인시 수지구 동천로153번길 7,20100531,7,460,948.0,40.0,908.0
용인시,수지구,동천동,A10025376,동천 파크 자이 아파트 ,아파트,경기도 용인수지구 동천동 930 동천 파크 자이 아파트 ,경기도 용인시 수지구 동천로153번길 79,20190729,6,388,475.0,0.0,475.0
