시도,시군구,동리,단지코드,단지명,단지분류,법정동주소,도로명주소,사용승인일,동수,세대수,총주차대수,지상주차대수,지하주차대수
용인시,수지구,상현동,A44851609,상현마을현대성우1차,아파트,경기도 용인수지구 상현동 851 상현마을현대성우1차,경기도 용인시 수지구 상현로 100,20010915,9,470,788.0,297.0,491.0
용인시,수지구,상현동,A44872712,수지센트럴아이파크,아파트,경기도 용인수지구 상현동 842 수지센트럴아이파크,경기도 용인시 수지구 상현로 101,20060828,14,895,1700.0,309.0,1391.0
용인시,수지구,상현동,A44851805,현대성우5차,아파트,경기도 용인수지구 상현동 843 현대성우5차,경기도 용인시 수지구 상현로 119-6,20031021,4,310,580.0,60.0,520.0
용인시,수지구,동천동,A44851113,동천마을현대2차홈타운,아파트,경기도 용인수지구 동천동 862 동천마을현대2차홈타운,경기도 용인시 수지구 동천로63번길 10,20020417,9,1128,1126.0,353.0,773.0
용인시,수지구,동천동,A44851004,래미안이스트팰리스3단지,아파트,경기도 용인수지구 동천동 932 래미안이스트팰리스3단지,경기도 용인시 수지구 동천로135번길 21,20100531,14,885,1607.0,54.0,1553.0
용인시,기흥구,신갈동,A44658412,갈현마을현대홈타운,아파트,경기도 용인기흥구 신갈동 159 갈현마을현대홈타운,경기도 용인시 기흥구 관곡로 16,20010621,8,584,589.0,298.0,291.0
용인시,수지구,죽전동,A44816104,새터마을모아미래도,아파트,경기도 용인수지구 죽전동 1216 새터마을모아미래도,경기도 용인시 수지구 대지로 127,20050203,4,252,272.0,55.0,217.0
용인시,수지구,죽전동,A44898513,용인죽전동부센트레빌,아파트,경기도 용인수지구 죽전동 172-1 용인죽전동부센트레빌,경기도 용인시 수지구 대지로 139,19981201,7,536,570.0,210.0,360.0
용인시,수지구,동천동,A44874508,풍림2차,아파트,경기도 용인수지구 동천동 176-1 풍림2차,경기도 용인시 수지구 동천로 18,19981231,2,271,273.0,113.0,160.0
용인시,수지구,동천동,A44812004,동천동문6차굿모닝힐,아파트,경기도 용인수지구 동천동 913 동천동문6차굿모닝힐,경기도 용인시 수지구 동천로 53,20071031,4,220,425.0,0.0,425.0
용인시,수지구,동천동,A44812014,동천동문5차굿모닝힐,아파트,경기도 용인수지구 동천동 914 동천동문5차굿모닝힐,경기도 용인시 수지구 동천로 64,20071031,15,1334,1473.0,202.0,1271.0
용인시,수지구,동천동,A44874401,동천마을동문3차,아파트,경기도 용인수지구 동천동 858 동천마을동문3차,경기도 용인시 수지구 동천로 93,20011107,3,181,265.0,53.0,212.0
