,주소,y,x
83,경기 용인시 수지구 풍덕천로 52,37.3175763161289,127.090813615263
84,경기 용인시 수지구 풍덕천로 75,37.3205039309399,127.09049097484
85,경기 용인시 수지구 풍덕천로 76,37.3199747278095,127.09087798744
86,경기 용인시 기흥구 동백1로 9,37.2647476191309,127.15759236242
87,경기 용인시 기흥구 동백1로 12,37.2633050050851,127.158908351542
88,경기 용인시 수지구 풍덕천로 91,37.3210632746953,127.091568069816
89,경기 용인시 기흥구 신갈로138번길 12,37.2786181570696,127.107329969039
90,경기 용인시 수지구 정평로13번길 20,37.3172407435084,127.087013031429
91,경기 용인시 기흥구 죽현로 12,37.3193086078075,127.111225429388
92,경기 용인시 기흥구 동백2로 11,37.2689745618693,127.155014055896
93,경기 용인시 기흥구 동백2로 12,37.2662456777001,127.156651069468
94,경기 용인시 기흥구 동백2로 37,37.2697295041552,127.15709471939
95,경기 용인시 기흥구 한보라1로43번길 22,37.2491293427057,127.110722511198
96,경기 용인시 기흥구 한보라1로43번길 23,37.2502657928233,127.110761595554
97,경기 용인시 기흥구 한보라1로64번길 22,37.2523193909809,127.106806385425
98,경기 용인시 기흥구 용구대로 2242,37.2866334673516,127.108090705262
99,경기 용인시 기흥구 연원로 60,37.3027099080142,127.112107839272
100,경기 용인시 기흥구 연원로 49,37.3032620270871,127.110613570424
101,경기 용인시 기흥구 예현로 15,37.2444058449991,127.073035775145
102,경기 용인시 수지구 정평로 41,37.3197733757524,127.085893402078
103,경기 용인시 수지구 정평로 61,37.3218783140646,127.086341106584
104,경기 용인시 기흥구 죽전로 20,37.3199965224732,127.110385262396
105,경기 용인시 기흥구 고매로34번길 10,37.2299223038764,127.112152113636
106,경기 용인시 기흥구 고매로34번길 31,37.228669875383,127.115036410943
107,경기 용인시 수지구 풍덕천로 161,37.3262889185527,127.098505591896
108,경기 용인시 수지구 포은대로 467,37.3236036964448,127.100817588259
109,경기 용인시 수지구 포은대로 477,37.3240902915367,127.101826107888
110,경기 용인시 수지구 포은대로 219,37.3079232977462,127.080031399666
111,경기 용인시 기흥구 용구대로2518번길 15,37.3129971148668,127.109314850062
112,경기 용인시 기흥구 고매로43번길 32-2,37.232501816743,127.11754493797
113,경기 용인시 수지구 수지로342번길 18,37.326643947419,127.09359437228
114,경기 용인시 수지구 수지로78번길 20,37.3099961684187,127.079168951147
115,경기 용인시 기흥구 중부대로 820,37.2560378542011,127.142764338538
116,경기 용인시 기흥구 동백죽전대로 455-10,37.2797770784079,127.151431633723
117,경기 용인시 기흥구 동백죽전대로 455-17,37.279797933497,127.148411081312
118,경기 용인시 기흥구 보정로 26,37.3134429658859,127.110651385835
119,경기 용인시 기흥구 보정로 30,37.31037251816,127.112270035886
120,경기 용인시 수지구 신봉1로48번길 29,37.3242608508507,127.080819660427
121,경기 용인시 수지구 신봉1로48번길 32,37.3234819167496,127.081855570927
122,경기 용인시 수지구 신봉1로48번길 45,37.3243410133616,127.083073893376
123,경기 용인시 수지구 신봉1로71번길 25,37.3209209251706,127.077827688844
124,경기 용인시 기흥구 사은로126번길 10,37.2516865812303,127.117560419708
125,경기 용인시 수지구 성복2로 220,37.3206362895327,127.062646296865
126,경기 용인시 수지구 성복2로 251,37.3188611757842,127.061245659132
127,경기 용인시 기흥구 구성로 90,37.293235775676,127.119390375907
128,경기 용인시 수지구 대지로 49,37.3298362838424,127.114051642154
129,경기 용인시 수지구 푸른솔로 20,37.3221032474705,127.116015814547
130,경기 용인시 수지구 푸른솔로 49,37.3247649963642,127.1150844626
131,경기 용인시 수지구 푸른솔로 55,37.3257852846387,127.116781371385
132,경기 용인시 수지구 푸른솔로 56,37.3247644499038,127.116013136068
133,경기 용인시 수지구 푸른솔로 76,37.3252293328574,127.118877403
134,경기 용인시 수지구 푸른솔로 88,37.3259169677641,127.119892359954
135,경기 용인시 기흥구 덕영대로 1871,37.2536308000942,127.089485497263
136,경기 용인시 기흥구 보정로 87,37.3174411419798,127.113298031222
137,경기 용인시 기흥구 보정로 88,37.3175653531454,127.116037269166
138,경기 용인시 기흥구 사은로 64,37.2550925152079,127.112563315604
139,경기 용인시 기흥구 한보라2로 93,37.2484467878653,127.111792281652
140,경기 용인시 기흥구 한보라2로 141,37.2457079413222,127.110289325998
141,경기 용인시 기흥구 한보라2로 167,37.2423725664651,127.10791769234
142,경기 용인시 기흥구 한보라2로 168,37.2441459576275,127.108657093653
143,경기 용인시 수지구 만현로 79,37.3092963306289,127.087125703137
144,경기 용인시 수지구 만현로 99,37.3068568752278,127.088452119999
145,경기 용인시 수지구 만현로 107,37.3054138643226,127.089890628688
146,경기 용인시 수지구 만현로 127,37.3045669037746,127.087711863009
147,경기 용인시 수지구 문인로 59,37.3316072715362,127.096963739196
148,경기 용인시 기흥구 사은로126번길 33,37.25216946929,127.121293829145
149,경기 용인시 기흥구 사은로126번길 46,37.2527177393252,127.119536406044
150,경기 용인시 기흥구 기흥역로 9,37.2748218442608,127.115337289593
151,경기 용인시 기흥구 기흥역로 16,37.2736113791937,127.114974755575
152,경기 용인시 기흥구 기흥역로 63,37.2748427696292,127.118778508807
