아파트,cluster,군집별총합
행정타운늘푸른오스카빌,3,0.745736
역북마을금강아파트,3,0.745736
보성아파트,3,0.745736
고림지구 양우내안애 에듀파크,1,1.147635
신정마을성지아파트,4,0.928836
신정마을현대프라임아파트,5,1.38777
가현마을신안아파트,4,0.928836
갈현마을 현대홈타운,1,1.147635
드림랜드아파트,4,0.928836
힐스테이트 기흥,5,1.38777
인정프린스아파트2차,3,0.745736
효천마을신안인스빌,1,1.147635
동아아파트,3,0.745736
현대아파트,3,0.745736
동원마을 동원로얄듀크아파트,4,0.928836
죽전누리에뜰,4,0.928836
인정프린스아파트,3,0.745736
용인기흥효성해링턴플레이스,0,1.54255
청현마을신일아파트,1,1.147635
영통 빌리지,4,0.928836
삼성래미안2차아파트,0,1.54255
용화마을 태영데시앙아파트,4,0.928836
구미마을 삼라 마이다스빌,2,1.095576
지석마을 진흥더루벤스,5,1.38777
용인수지 신정마을9단지,1,1.147635
신정마을8단지현대성우아파트,0,1.54255
정자뜰마을 태영 데시앙1차 아파트,4,0.928836
정자뜰마을태영데시앙2차아파트,4,0.928836
수지진산마을푸르지오,5,1.38777
e편한세상 수지,0,1.54255
이스턴팰리스,4,0.928836
수지 에듀파크,4,0.928836
한국아파트,5,1.38777
신봉마을엘지자이1차아파트,0,1.54255
서홍마을 한일아파트,2,1.095576
서홍마을 벽산블루밍,4,0.928836
서홍마을한화꿈에그린아파트,4,0.928836
서홍마을효성화운트빌아파트,4,0.928836
서홍마을우남퍼스트빌아파트,1,1.147635
신봉마을자이2차아파트,0,1.54255
신봉마을 자이3차,4,0.928836
신봉마을 동부센트레빌 5단지,5,1.38777
신봉마을 용인신봉 센트레빌 1단지,4,0.928836
광교산자이,4,0.928836
신봉동 동도센트리움,2,1.095576
신봉마을 동일하이빌4단지,4,0.928836
신봉마을동일하이빌3단지,4,0.928836
신봉마을 동일하이빌 2단지,4,0.928836
광교산 한양수자인 더킨포크,2,1.095576
웰스톤시티,3,0.745736
도담마을 롯데캐슬,2,1.095576
도담마을 현대홈타운4차 1단지,4,0.928836
성현마을반도유보라,1,1.147635
도담마을 우미이노스빌,2,1.095576
도담마을 한양수자인,4,0.928836
꽃메마을 현대홈타운,4,0.928836
도담마을주공8단지아파트,1,1.147635
꽃메마을 한라프로방스,2,1.095576
꽃메마을아이파크,4,0.928836
꽃메마을극동스타클래스,4,0.928836
공동주택,1,1.147635
도담마을7단지뜨리에체아파트,4,0.928836
죽전역 솔하임,2,1.095576
도담마을죽전파크빌,1,1.147635
창죽마을 벽산첼시빌아파트,5,1.38777
동성1차아파트,1,1.147635
벽산타운1단지,1,1.147635
용인수지벽산타운2단지,1,1.147635
죽전 아이뷰,4,0.928836
블루밍벽산4단지아파트,4,0.928836
용인수지2차풍림아파트,4,0.928836
행림마을진로아파트,2,1.095576
동문굿모닝힐3차아파트,4,0.928836
동천마을현대홈타운아파트,5,1.38777
동천마을현대2차홈타운,0,1.54255
수진마을써니벨리아파트,1,1.147635
수진마을 우미 이노스빌,4,0.928836
수진마을신명스카이뷰,4,0.928836
원천마을 푸르지오아파트,4,0.928836
보뜨랑마을벽산블루밍아파트,2,1.095576
동문굿모닝힐6차아파트,5,1.38777
동문굿모닝힐5차아파트,0,1.54255
한빛마을 래미안 이스트팰리스 4단지,5,1.38777
동천파크자이,4,0.928836
한빛마을 래미안 이스트팰리스 1단지,5,1.38777
한빛마을 래미안 이스트팰리스 3단지,5,1.38777
한빛마을 래미안 이스트팰리스 2단지,5,1.38777
동문그린빌아파트,2,1.095576
광교마을46단지 광교스타클래스,5,1.38777
광교마을45단지,5,1.38777
광교경남아너스빌,5,1.38777
광교상록자이아파트,5,1.38777
광교상현마을현대아파트,2,1.095576
광교상떼빌파크뷰,1,1.147635
광교마을46단지 광교스타클래스,4,0.928836
광교쌍용포레듀엔A,4,0.928836
용인수지 동도 센트리움,3,0.745736
레이크포레 아파트,4,0.928836
더샵수지포레,5,1.38777
만현마을쌍용1차아파트,1,1.147635
상현마을현대성우아파트,2,1.095576
만현마을 쌍용아파트,2,1.095576
상현마을 현대성우3차아파트,4,0.928836
성복역 아이파크,4,0.928836
만현마을5단지아이파크아파트,4,0.928836
만현마을롯데캐슬아파트,1,1.147635
만현마을8단지두산위브아파트,4,0.928836
만현마을성원상떼빌아파트,1,1.147635
만현마을9단지엘지자이아파트,1,1.147635
성동마을 엘지빌리지3차,0,1.54255
성동마을 엘지빌리지1차,5,1.38777
성복역 KCC스위첸,4,0.928836
성남마을벽산첼시빌2차아파트,1,1.147635
성동마을 엘지빌리지 6차,5,1.38777
진산마을삼성래미안5차아파트,0,1.54255
진산마을삼성래미안7차아파트,5,1.38777
신봉마을 엘지빌리지5차,4,0.928836
꽃메마을한라신영프로방스,5,1.38777
현암마을동성2차아파트,1,1.147635
인현마을힐스테이트7차아파트,4,0.928836
현인마을 이-편한세상,4,0.928836
블루밍벽산3단지아파트,2,1.095576
수진마을2단지,5,1.38777
더샵 동천이스트포레,1,1.147635
광교쌍용포레듀엔B,4,0.928836
진산마을성원상떼빌아파트,0,1.54255
