,Unnamed: 0,유동인구,기업체 수,잠재수요지수,행정동,현재수요지수,현재수요순위,잠재수요순위,최종순위,잠재수요지수scaled,최종수요지수합,최종수요지수합scaled
0,32,1.0,0.737591713422529,1.2936058576029157,포곡읍,0.6552463077398083,6,1,7,1.0,1.6552463077398083,1.0
1,23,0.5699055003634601,0.6896849374190763,0.8444415802051565,역삼동,0.6928282990704295,5,8,13,0.6294027027193142,1.3222310017897438,0.780984141783772
2,8,0.582505451902108,0.6763055675442382,0.8517157379546351,동천동,0.5575910444398926,7,7,14,0.6354044783225927,1.1929955227624853,0.6959891915655239
3,20,0.7877392779258541,0.5131635735865343,0.9920092397104454,신갈동,0.5216190282066004,11,4,15,0.7511581016471485,1.272777129853749,0.748459564052196
4,13,0.8557063242064453,0.7332757876564523,1.1475941838128547,보정동,0.4916385384580894,13,2,15,0.8795284166596645,1.3711669551177539,0.8131680973685957
5,19,0.6406590743881754,0.3672852826931376,0.7868607038908559,성복동,0.7212808587811892,4,12,16,0.5818937662100198,1.3031746249912088,0.7684512382071154
6,27,0.7301914223406833,0.3129046180405697,0.8547462770873854,유림동,0.5297232317331126,10,6,16,0.6379049211859642,1.1676281529190768,0.6793057053182712
7,10,0.348073661255149,0.9533880017263704,0.7275794186833764,모현읍,0.9670732781947295,2,14,16,0.5329818531689873,1.500055131363717,0.8979346352125557
8,0,0.4274291252725951,0.9305135951661632,0.7978294933193395,구갈동,0.5563194465618329,8,10,18,0.5909439153897089,1.1472633619515418,0.6659122903867136
9,22,0.8272352798643081,0.544669831678895,1.044046627023395,양지면,0.4221140895372519,20,3,23,0.794093205942296,1.216207295479548,0.7112549953634724
10,29,0.3462563605524594,0.7194648252050064,0.6326466265700488,죽전1동,0.8511487116893799,3,20,23,0.45465452851099136,1.3058032402003712,0.7701800128480061
11,31,0.5878362006299975,1.0,0.9858963364204922,중앙동,0.3871127387514795,21,5,26,0.7461144560328542,1.1332271947843338,0.6566810534337386
12,18,0.3412890719651078,0.2261545101424255,0.4313121669820345,서농동,1.0,1,25,26,0.2885371181838321,1.288537118183832,0.7588245151758195
13,2,0.6793070026653744,0.3590850237375916,0.8222444359746931,기흥동,0.4395094938794279,18,9,27,0.6110882416788728,1.0505977355583007,0.6023377196500173
14,9,0.5545190210806882,0.2278808804488562,0.6452293152962174,마북동,0.5298495586697212,9,18,27,0.4650362767244915,0.9948858353942127,0.5656973928864053
15,16,0.4594136176399321,0.4587829089339663,0.642036804668545,상현1동,0.5149767885460612,12,19,31,0.46240219411888045,0.9773789826649417,0.554183572630524
16,3,0.623939907923431,0.4138972809667673,0.7886959157883789,남사읍,0.3542660594762497,22,11,33,0.5834079662552676,0.9376740257315173,0.528070613067289
17,1,0.5302883450448267,0.3590850237375916,0.6732257783541454,구성동,0.4290949326442497,19,17,36,0.4881356505277619,0.9172305831720116,0.5146254709459965
18,12,0.3362006299975769,0.3707380233059991,0.4837766578974625,보라동,0.4878733807443512,14,24,38,0.3318246179135729,0.819697998657924,0.4504807234832395
19,5,0.4560213229949115,0.7319810099266293,0.7473937832023689,동백2동,0.3094756153528196,25,13,38,0.549330325893968,0.8588059412467877,0.47620104160716165
20,33,0.3405621516840319,0.6922744928787224,0.616129030323632,풍덕천1동,0.4573384751923998,17,21,38,0.44102615948316043,0.8983646346755603,0.5022178073125627
21,24,0.4419675308941119,0.6383254208027621,0.6960594345773841,영덕1동,0.3107989606050574,24,15,39,0.5069752860668876,0.817774246671945,0.44921551979837476
22,28,0.4543251756724012,0.5571860164005179,0.6761187170213563,이동읍,0.3396498728758222,23,16,39,0.4905225617431383,0.8301724346189605,0.45736949868470517
23,34,0.4044099830385267,0.349158394475615,0.5433960209558811,풍덕천2동,0.4575744887992445,16,23,39,0.38101547285656245,0.838589961655807,0.46290549620522065
24,21,0.2034165253210564,0.2762192490289167,0.3133683970974555,신봉동,0.4759699094716719,15,27,42,0.19122385319412127,0.6671937626657931,0.3501824923489769
25,30,0.4317906469590501,0.3798014674147604,0.5829744706515988,죽전2동,0.1936065247808295,28,22,50,0.4136709337333043,0.6072774585141338,0.3107770339797813
26,4,0.3540101768839351,0.1320673284419508,0.4065809155770259,동백1동,0.2458989137668133,26,26,52,0.26813181128328145,0.5140307250500947,0.2494509838235499
27,25,0.234795250787497,0.1074665515753129,0.2775734009005022,영덕2동,0.169562705613805,31,29,60,0.16169005116601387,0.33125275677981886,0.1292424742791398
28,15,0.0940150230191422,0.092360811394044,0.1307801801443757,상하동,0.2361050780370261,27,34,61,0.04057362760151839,0.27667870563854446,0.09335048242926725
29,6,0.1808819966077053,0.0,0.1808819966077053,동백3동,0.1889334084441104,29,32,61,0.08191172750059007,0.2708451359447005,0.0895138891852528
30,11,0.1432032953719409,0.2429866206301252,0.2399265825752419,백암면,0.1177287115588377,32,30,62,0.13062834429255438,0.24835705585139206,0.07472403997030483
31,7,0.1571359340925611,0.3047043590850237,0.2784265926459013,동부동,0.0,35,28,63,0.1623940041979401,0.1623940041979401,0.018188285617951216
32,14,0.1572570874727405,0.0720759602934829,0.1859476540143946,상갈동,0.0486472657415601,34,31,65,0.08609130953401718,0.13473857527557728,0.0
33,17,0.0,0.2050064738886491,0.0816049048340461,상현2동,0.1859214029276191,30,35,65,0.0,0.1859214029276191,0.033661668769741596
34,26,0.1047976738551005,0.1773845489857574,0.1754073915115068,원삼면,0.0664392128262497,33,33,66,0.07739473014700592,0.14383394297325564,0.005981796411477516
